iter	Passed	Remaining
0	12	12521
1	25	12597
2	38	12929
3	50	12693
4	63	12551
5	75	12504
6	87	12471
7	99	12360
8	110	12185
9	122	12153
10	134	12115
11	147	12167
12	160	12178
13	170	11984
14	179	11792
15	189	11655
16	199	11517
17	209	11410
18	218	11290
19	228	11200
20	238	11123
21	248	11052
22	259	11043
23	287	11704
24	312	12187
25	322	12085
26	332	11982
27	342	11880
28	352	11790
29	361	11697
30	371	11611
31	381	11539
32	391	11480
33	401	11413
34	411	11357
35	421	11299
36	431	11241
37	441	11180
38	453	11163
39	462	11107
40	473	11066
41	482	11011
42	495	11029
43	507	11023
44	519	11029
45	531	11021
46	543	11016
47	555	11013
48	567	11017
49	579	11017
50	593	11040
51	605	11038
52	615	10999
53	626	10974
54	636	10935
55	646	10896
56	656	10862
57	666	10827
58	676	10791
59	689	10800
60	702	10815
61	715	10823
62	726	10804
63	739	10819
64	748	10772
65	757	10720
66	764	10644
67	774	10617
68	786	10617
69	796	10588
70	808	10581
71	819	10556
72	829	10538
73	840	10511
74	849	10480
75	862	10480
76	874	10479
77	886	10475
78	898	10472
79	910	10468
80	923	10473
81	935	10473
82	947	10465
83	957	10445
84	967	10415
85	978	10403
86	991	10408
87	1002	10394
88	1016	10402
89	1028	10401
90	1041	10402
91	1054	10409
92	1066	10403
93	1079	10408
94	1092	10405
95	1105	10406
96	1117	10398
97	1130	10407
98	1141	10387
99	1152	10376
100	1163	10359
101	1174	10337
102	1183	10309
103	1194	10290
104	1205	10277
105	1218	10275
106	1229	10257
107	1240	10242
108	1252	10242
109	1264	10234
110	1275	10214
111	1285	10188
112	1295	10165
113	1308	10170
114	1319	10152
115	1333	10161
116	1363	10291
117	1373	10269
118	1383	10244
119	1393	10219
120	1404	10203
121	1417	10198
122	1427	10176
123	1437	10152
124	1447	10129
125	1457	10109
126	1467	10089
127	1477	10068
128	1487	10046
129	1497	10024
130	1507	10003
131	1517	9980
132	1528	9960
133	1538	9940
134	1548	9919
135	1557	9897
136	1568	9877
137	1578	9861
138	1588	9840
139	1599	9826
140	1607	9796
141	1622	9803
142	1633	9792
143	1646	9786
144	1659	9783
145	1670	9769
146	1682	9760
147	1693	9747
148	1703	9727
149	1712	9706
150	1722	9683
151	1732	9664
152	1741	9643
153	1751	9623
154	1761	9603
155	1771	9585
156	1781	9567
157	1791	9547
158	1802	9534
159	1813	9520
160	1826	9516
161	1837	9504
162	1851	9504
163	1862	9496
164	1876	9496
165	1886	9477
166	1897	9466
167	1908	9452
168	1920	9445
169	1933	9441
170	1947	9442
171	1959	9432
172	1972	9427
173	1984	9418
174	1995	9408
175	2010	9414
176	2025	9417
177	2030	9378
178	2040	9358
179	2049	9336
180	2060	9325
181	2072	9312
182	2081	9292
183	2092	9280
184	2102	9261
185	2111	9239
186	2121	9224
187	2133	9214
188	2144	9204
189	2156	9192
190	2166	9175
191	2180	9178
192	2193	9173
193	2205	9165
194	2219	9161
195	2231	9152
196	2243	9142
197	2255	9135
198	2268	9131
199	2279	9119
200	2293	9118
201	2303	9098
202	2314	9086
203	2323	9065
204	2336	9060
205	2348	9050
206	2362	9052
207	2375	9046
208	2388	9041
209	2401	9033
210	2417	9041
211	2430	9032
212	2441	9020
213	2453	9013
214	2466	9007
215	2479	8998
216	2492	8992
217	2503	8980
218	2515	8970
219	2525	8954
220	2535	8938
221	2545	8922
222	2555	8905
223	2565	8889
224	2577	8878
225	2588	8866
226	2601	8858
227	2614	8853
228	2626	8842
229	2637	8831
230	2649	8820
231	2660	8806
232	2670	8790
233	2679	8772
234	2690	8759
235	2702	8750
236	2715	8740
237	2727	8733
238	2739	8721
239	2751	8712
240	2762	8699
241	2765	8663
242	2776	8648
243	2786	8634
244	2796	8619
245	2807	8605
246	2817	8589
247	2829	8580
248	2840	8568
249	2853	8559
250	2864	8547
251	2876	8538
252	2887	8524
253	2898	8512
254	2908	8496
255	2922	8493
256	2936	8488
257	2947	8475
258	2959	8468
259	2969	8450
260	2979	8437
261	2991	8426
262	3006	8425
263	3015	8406
264	3026	8395
265	3039	8386
266	3050	8373
267	3059	8355
268	3070	8342
269	3079	8326
270	3089	8311
271	3099	8294
272	3109	8281
273	3120	8268
274	3132	8257
275	3142	8243
276	3152	8227
277	3165	8220
278	3176	8209
279	3188	8199
280	3200	8189
281	3212	8180
282	3224	8169
283	3234	8154
284	3244	8140
285	3254	8124
286	3264	8110
287	3274	8095
288	3284	8081
289	3294	8065
290	3304	8050
291	3314	8036
292	3327	8029
293	3339	8020
294	3352	8012
295	3365	8004
296	3372	7983
297	3384	7972
298	3395	7960
299	3407	7951
300	3425	7953
301	3453	7982
302	3472	7988
303	3482	7973
304	3492	7958
305	3502	7943
306	3512	7928
307	3522	7913
308	3532	7898
309	3542	7884
310	3552	7870
311	3563	7857
312	3573	7844
313	3583	7829
314	3593	7815
315	3603	7800
316	3613	7786
317	3623	7772
318	3634	7758
319	3645	7747
320	3656	7734
321	3666	7721
322	3677	7708
323	3690	7699
324	3700	7685
325	3710	7670
326	3720	7657
327	3730	7642
328	3740	7628
329	3750	7614
330	3763	7605
331	3774	7593
332	3787	7587
333	3800	7578
334	3813	7570
335	3825	7559
336	3835	7545
337	3845	7532
338	3855	7518
339	3865	7504
340	3876	7491
341	3888	7480
342	3900	7471
343	3913	7462
344	3925	7452
345	3938	7444
346	3950	7434
347	3962	7423
348	3973	7411
349	3986	7403
350	3999	7395
351	4013	7387
352	4023	7373
353	4033	7360
354	4044	7348
355	4052	7331
356	4058	7309
357	4064	7288
358	4070	7267
359	4078	7250
360	4087	7234
361	4095	7218
362	4104	7202
363	4109	7180
364	4115	7159
365	4120	7137
366	4125	7116
367	4131	7095
368	4136	7073
369	4141	7052
370	4147	7031
371	4152	7010
372	4158	6989
373	4163	6968
374	4168	6948
375	4174	6927
376	4179	6906
377	4184	6886
378	4190	6865
379	4195	6845
380	4200	6825
381	4206	6804
382	4211	6784
383	4216	6764
384	4221	6744
385	4227	6724
386	4232	6704
387	4238	6684
388	4243	6664
389	4248	6645
390	4253	6625
391	4259	6605
392	4264	6586
393	4270	6567
394	4275	6548
395	4280	6529
396	4286	6510
397	4291	6491
398	4296	6472
399	4302	6453
400	4307	6434
401	4312	6415
402	4318	6396
403	4323	6378
404	4328	6359
405	4334	6341
406	4339	6322
407	4345	6304
408	4350	6286
409	4356	6268
410	4361	6250
411	4367	6232
412	4372	6214
413	4377	6196
414	4383	6178
415	4388	6160
416	4394	6143
417	4401	6128
418	4407	6111
419	4412	6093
420	4418	6076
421	4424	6059
422	4429	6042
423	4435	6025
424	4440	6007
425	4445	5990
426	4451	5973
427	4457	5957
428	4466	5944
429	4475	5933
430	4485	5921
431	4496	5911
432	4503	5896
433	4508	5879
434	4513	5862
435	4519	5846
436	4524	5829
437	4530	5812
438	4535	5796
439	4541	5779
440	4546	5763
441	4551	5746
442	4557	5730
443	4562	5713
444	4567	5697
445	4573	5680
446	4578	5664
447	4584	5648
448	4589	5632
449	4595	5616
450	4601	5600
451	4606	5584
452	4612	5569
453	4617	5553
454	4623	5537
455	4628	5521
456	4633	5505
457	4639	5490
458	4644	5474
459	4650	5459
460	4656	5443
461	4661	5428
462	4667	5413
463	4672	5398
464	4678	5382
465	4684	5367
466	4689	5352
467	4695	5337
468	4700	5322
469	4706	5306
470	4711	5291
471	4716	5276
472	4722	5261
473	4727	5246
474	4733	5231
475	4738	5216
476	4744	5201
477	4750	5187
478	4755	5172
479	4761	5157
480	4766	5143
481	4771	5128
482	4777	5113
483	4782	5098
484	4788	5084
485	4793	5069
486	4798	5055
487	4804	5040
488	4809	5026
489	4815	5011
490	4820	4997
491	4826	4983
492	4831	4968
493	4837	4954
494	4842	4940
495	4848	4926
496	4853	4912
497	4859	4898
498	4864	4883
499	4869	4869
500	4875	4855
501	4880	4841
502	4885	4827
503	4891	4813
504	4898	4801
505	4903	4787
506	4908	4773
507	4914	4759
508	4919	4745
509	4925	4731
510	4930	4718
511	4935	4704
512	4941	4690
513	4946	4677
514	4951	4663
515	4957	4649
516	4963	4636
517	4969	4623
518	4975	4610
519	4981	4597
520	4987	4585
521	4992	4571
522	4998	4558
523	5003	4545
524	5008	4531
525	5013	4518
526	5019	4504
527	5024	4491
528	5030	4478
529	5035	4465
530	5040	4452
531	5045	4438
532	5051	4425
533	5056	4412
534	5062	4399
535	5067	4386
536	5072	4373
537	5077	4360
538	5083	4347
539	5088	4334
540	5094	4322
541	5099	4309
542	5104	4296
543	5110	4283
544	5115	4270
545	5121	4258
546	5126	4245
547	5131	4232
548	5137	4220
549	5142	4207
550	5147	4194
551	5152	4181
552	5157	4169
553	5163	4156
554	5168	4143
555	5173	4131
556	5179	4119
557	5184	4106
558	5189	4094
559	5194	4081
560	5200	4069
561	5205	4057
562	5211	4045
563	5216	4032
564	5221	4020
565	5227	4008
566	5232	3996
567	5238	3984
568	5243	3971
569	5248	3959
570	5254	3947
571	5259	3935
572	5265	3923
573	5270	3911
574	5275	3899
575	5280	3887
576	5286	3875
577	5291	3863
578	5297	3851
579	5302	3839
580	5307	3827
581	5313	3816
582	5318	3804
583	5324	3792
584	5329	3780
585	5334	3768
586	5340	3757
587	5345	3745
588	5350	3733
